Event Date,Event Name,Source,Medium,Campaign,Users,Sessions,Pageviews,Bounce Rate,Session Duration
2024-01-15,"Bridgeland Barber Launch",google,organic,brand-awareness,450,520,1200,32.1%,285
2024-01-20,"GBP Post - Fresh Cuts",google,gbp,local-service,380,420,950,28.5%,320
2024-01-22,"Instagram Story Promotion",instagram,story,daily-offer,290,340,780,35.2%,245
2024-01-25,"Email Newsletter - Grooming Tips",newsletter,email,education,180,200,450,41.8%,198
2024-01-28,"Facebook Local Event Boost",facebook,social,community-event,320,380,890,38.7%,267
2024-02-01,"Valentine's Grooming Special",google,organic,valentines-day,520,590,1350,29.4%,298
2024-02-05,"Groomsmen Party Promotion",google,gbp,event-service,280,320,720,33.1%,312
2024-02-08,"LinkedIn B2B Outreach",linkedin,social,partnership,150,170,380,45.6%,189
2024-02-12,"Local Search - Beard Trim",google,organic,beard-service,390,450,1020,31.2%,276
2024-02-15,"Instagram Reels Tutorial",instagram,reel,how-to,340,390,880,36.8%,234
2024-02-18,"Veterans Day Discount",direct,direct,special-offer,220,250,580,42.3%,267
2024-02-22,"Kids Haircut Campaign",google,gbp,family-service,310,360,820,34.7%,289
